Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
industrial-oil-skimmer-zs-1000,Industrial Oil Skimmer ZS-1000,Professional-grade oil skimmer designed for industrial coolant systems. Removes tramp oil and floating contaminants to extend coolant life and improve machining performance.,Zebra Skimmers,Manufacturing Equipment,Oil Removal Equipment,"industrial, oil-removal, coolant-management, manufacturing",TRUE,Title,Default Title,,,,,ZS-1000-STD,38555,shopify,15,deny,manual,2499,2799,TRUE,TRUE,,,,Industrial Oil Skimmer ZS-1000,FALSE,Industrial Oil Skimmer ZS-1000 - Zebra Skimmers,Professional-grade oil skimmer designed for industrial coolant systems. Removes tramp oil and floating contaminants to extend coolant life and improve machining...,,,,,,,,,,,,,,,lb,,1499,active
coolant-management-system-cms-2000,Coolant Management System CMS-2000,"Complete coolant management solution with automated monitoring, filtration, and chemical dosing for large manufacturing operations.",Zebra Skimmers,Manufacturing Equipment,Coolant Systems,"industrial, coolant-management, manufacturing, automation",TRUE,Title,Default Title,,,,,CMS-2000-PRO,204116,shopify,8,deny,manual,15000,17500,TRUE,TRUE,,,,Coolant Management System CMS-2000,FALSE,Coolant Management System CMS-2000 - Zebra Skimmers,"Complete coolant management solution with automated monitoring, filtration, and chemical dosing for large manufacturing operations....",,,,,,,,,,,,,,,lb,,9000,active
heavy-duty-conveyor-belt-system,Heavy Duty Conveyor Belt System,Robust conveyor system designed for heavy industrial applications. Features steel construction and variable speed control.,Industrial Solutions,Industrial Equipment,Material Handling,"industrial, material-handling, conveyor, heavy-duty",TRUE,Title,Default Title,,,,,CONV-HD-100,145149,shopify,12,deny,manual,8500,9200,TRUE,TRUE,,,,Heavy Duty Conveyor Belt System,FALSE,Heavy Duty Conveyor Belt System - Industrial Solutions,Robust conveyor system designed for heavy industrial applications. Features steel construction and variable speed control....,,,,,,,,,,,,,,,lb,,5100,active
professional-welding-station-ws-300,Professional Welding Station WS-300,"Complete welding station with advanced controls, fume extraction, and precision positioning. Ideal for professional fabrication work.",WeldPro,Industrial Tools,Welding Equipment,"welding, tools, professional, industrial",TRUE,Title,Default Title,,,,,WS-300-PRO,43091,shopify,20,deny,manual,3200,3600,TRUE,TRUE,,,,Professional Welding Station WS-300,FALSE,Professional Welding Station WS-300 - WeldPro,"Complete welding station with advanced controls, fume extraction, and precision positioning. Ideal for professional fabrication work....",,,,,,,,,,,,,,,lb,,1920,active
industrial-safety-cabinet-sc-45,Industrial Safety Cabinet SC-45,OSHA compliant safety cabinet for flammable liquid storage. Features double-wall construction and automatic closing doors.,SafeGuard,Safety Equipment,Safety Storage,"safety, storage, industrial, compliance",TRUE,Title,Default Title,,,,,SC-45-YEL,81647,shopify,25,deny,manual,1200,1350,TRUE,TRUE,,,,Industrial Safety Cabinet SC-45,FALSE,Industrial Safety Cabinet SC-45 - SafeGuard,OSHA compliant safety cabinet for flammable liquid storage. Features double-wall construction and automatic closing doors....,,,,,,,,,,,,,,,lb,,720,active
cnc-machining-center-mc-400,CNC Machining Center MC-400,Professional cnc machining center mc-400 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1000,90718,shopify,5,deny,manual,5000,5500,TRUE,TRUE,,,,CNC Machining Center MC-400,FALSE,CNC Machining Center MC-400 - Industrial Manufacturing,Professional cnc machining center mc-400 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,3000,active
hydraulic-press-hp-50t,Hydraulic Press HP-50T,Professional hydraulic press hp-50t designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1001,113398,shopify,6,deny,manual,5500,6000,TRUE,TRUE,,,,Hydraulic Press HP-50T,FALSE,Hydraulic Press HP-50T - Industrial Manufacturing,Professional hydraulic press hp-50t designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,3300,active
industrial-lathe-il-1640,Industrial Lathe IL-1640,Professional industrial lathe il-1640 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1002,136078,shopify,7,deny,manual,6000,6500,TRUE,TRUE,,,,Industrial Lathe IL-1640,FALSE,Industrial Lathe IL-1640 - Industrial Manufacturing,Professional industrial lathe il-1640 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,3600,active
milling-machine-mm-3000,Milling Machine MM-3000,Professional milling machine mm-3000 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1003,158757,shopify,8,deny,manual,6500,7000,TRUE,TRUE,,,,Milling Machine MM-3000,FALSE,Milling Machine MM-3000 - Industrial Manufacturing,Professional milling machine mm-3000 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,3900,active
grinding-machine-gm-1200,Grinding Machine GM-1200,Professional grinding machine gm-1200 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1004,181437,shopify,9,deny,manual,7000,7500,TRUE,TRUE,,,,Grinding Machine GM-1200,FALSE,Grinding Machine GM-1200 - Industrial Manufacturing,Professional grinding machine gm-1200 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,4200,active
drill-press-dp-20,Drill Press DP-20,Professional drill press dp-20 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1005,204116,shopify,10,deny,manual,7500,8000,TRUE,TRUE,,,,Drill Press DP-20,FALSE,Drill Press DP-20 - Industrial Manufacturing,Professional drill press dp-20 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,4500,active
band-saw-bs-14,Band Saw BS-14,Professional band saw bs-14 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1006,226796,shopify,11,deny,manual,8000,8500,TRUE,TRUE,,,,Band Saw BS-14,FALSE,Band Saw BS-14 - Industrial Manufacturing,Professional band saw bs-14 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,4800,active
surface-grinder-sg-818,Surface Grinder SG-818,Professional surface grinder sg-818 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1007,249476,shopify,12,deny,manual,8500,9000,TRUE,TRUE,,,,Surface Grinder SG-818,FALSE,Surface Grinder SG-818 - Industrial Manufacturing,Professional surface grinder sg-818 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,5100,active
boring-machine-bm-100,Boring Machine BM-100,Professional boring machine bm-100 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1008,272155,shopify,13,deny,manual,9000,9500,TRUE,TRUE,,,,Boring Machine BM-100,FALSE,Boring Machine BM-100 - Industrial Manufacturing,Professional boring machine bm-100 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,5400,active
plasma-cutter-pc-65,Plasma Cutter PC-65,Professional plasma cutter pc-65 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1009,294835,shopify,14,deny,manual,9500,10000,TRUE,TRUE,,,,Plasma Cutter PC-65,FALSE,Plasma Cutter PC-65 - Industrial Manufacturing,Professional plasma cutter pc-65 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,5700,active
waterjet-cutter-wj-3020,Waterjet Cutter WJ-3020,Professional waterjet cutter wj-3020 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1010,317514,shopify,5,deny,manual,10000,10500,TRUE,TRUE,,,,Waterjet Cutter WJ-3020,FALSE,Waterjet Cutter WJ-3020 - Industrial Manufacturing,Professional waterjet cutter wj-3020 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,6000,active
laser-cutter-lc-1325,Laser Cutter LC-1325,Professional laser cutter lc-1325 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1011,340194,shopify,6,deny,manual,10500,11000,TRUE,TRUE,,,,Laser Cutter LC-1325,FALSE,Laser Cutter LC-1325 - Industrial Manufacturing,Professional laser cutter lc-1325 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,6300,active
punch-press-pp-30t,Punch Press PP-30T,Professional punch press pp-30t designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1012,362874,shopify,7,deny,manual,11000,11500,TRUE,TRUE,,,,Punch Press PP-30T,FALSE,Punch Press PP-30T - Industrial Manufacturing,Professional punch press pp-30t designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,6600,active
shear-machine-sm-10,Shear Machine SM-10,Professional shear machine sm-10 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1013,385553,shopify,8,deny,manual,11500,12000,TRUE,TRUE,,,,Shear Machine SM-10,FALSE,Shear Machine SM-10 - Industrial Manufacturing,Professional shear machine sm-10 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,6900,active
roll-former-rf-24,Roll Former RF-24,Professional roll former rf-24 designed for precision manufacturing operations. Features advanced controls and robust construction.,Industrial Manufacturing,Manufacturing Equipment,Manufacturing Equipment,"manufacturing, industrial, equipment, cnc",TRUE,Title,Default Title,,,,,MFG-1014,408233,shopify,9,deny,manual,12000,12500,TRUE,TRUE,,,,Roll Former RF-24,FALSE,Roll Former RF-24 - Industrial Manufacturing,Professional roll former rf-24 designed for precision manufacturing operations. Features advanced controls and robust construction....,,,,,,,,,,,,,,,lb,,7200,active
air-compressor-ac-100hp,Air Compressor AC-100HP,Heavy-duty air compressor ac-100hp built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2000,226796,shopify,3,deny,manual,8000,9000,TRUE,TRUE,,,,Air Compressor AC-100HP,FALSE,Air Compressor AC-100HP - Heavy Industries,Heavy-duty air compressor ac-100hp built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,4800,active
industrial-generator-ig-250kw,Industrial Generator IG-250KW,Heavy-duty industrial generator ig-250kw built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2001,272155,shopify,4,deny,manual,9000,10000,TRUE,TRUE,,,,Industrial Generator IG-250KW,FALSE,Industrial Generator IG-250KW - Heavy Industries,Heavy-duty industrial generator ig-250kw built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,5400,active
forklift-electric-fe-5000,Forklift Electric FE-5000,Heavy-duty forklift electric fe-5000 built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2002,317514,shopify,5,deny,manual,10000,11000,TRUE,TRUE,,,,Forklift Electric FE-5000,FALSE,Forklift Electric FE-5000 - Heavy Industries,Heavy-duty forklift electric fe-5000 built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,6000,active
overhead-crane-oc-10t,Overhead Crane OC-10T,Heavy-duty overhead crane oc-10t built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2003,362874,shopify,6,deny,manual,11000,12000,TRUE,TRUE,,,,Overhead Crane OC-10T,FALSE,Overhead Crane OC-10T - Heavy Industries,Heavy-duty overhead crane oc-10t built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,6600,active
