Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pallet-jack-pj-5500,Pallet Jack PJ-5500,Heavy-duty pallet jack pj-5500 built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2004,408233,shopify,7,deny,manual,12000,13000,TRUE,TRUE,,,,Pallet Jack PJ-5500,FALSE,Pallet Jack PJ-5500 - Heavy Industries,Heavy-duty pallet jack pj-5500 built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,7200,active
industrial-vacuum-iv-3000,Industrial Vacuum IV-3000,Heavy-duty industrial vacuum iv-3000 built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2005,453592,shopify,8,deny,manual,13000,14000,TRUE,TRUE,,,,Industrial Vacuum IV-3000,FALSE,Industrial Vacuum IV-3000 - Heavy Industries,Heavy-duty industrial vacuum iv-3000 built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,7800,active
pressure-washer-pw-4000psi,Pressure Washer PW-4000PSI,Heavy-duty pressure washer pw-4000psi built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2006,498951,shopify,9,deny,manual,14000,15000,TRUE,TRUE,,,,Pressure Washer PW-4000PSI,FALSE,Pressure Washer PW-4000PSI - Heavy Industries,Heavy-duty pressure washer pw-4000psi built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,8400,active
material-lift-ml-2000,Material Lift ML-2000,Heavy-duty material lift ml-2000 built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2007,544310,shopify,10,deny,manual,15000,16000,TRUE,TRUE,,,,Material Lift ML-2000,FALSE,Material Lift ML-2000 - Heavy Industries,Heavy-duty material lift ml-2000 built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,9000,active
dock-leveler-dl-8x6,Dock Leveler DL-8x6,Heavy-duty dock leveler dl-8x6 built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2008,589670,shopify,3,deny,manual,16000,17000,TRUE,TRUE,,,,Dock Leveler DL-8x6,FALSE,Dock Leveler DL-8x6 - Heavy Industries,Heavy-duty dock leveler dl-8x6 built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,9600,active
loading-dock-seal-lds-9x10,Loading Dock Seal LDS-9x10,Heavy-duty loading dock seal lds-9x10 built for demanding industrial applications. Engineered for reliability and performance.,Heavy Industries,Industrial Equipment,Industrial Equipment,"industrial, equipment, heavy-duty, commercial",TRUE,Title,Default Title,,,,,IND-2009,635029,shopify,4,deny,manual,17000,18000,TRUE,TRUE,,,,Loading Dock Seal LDS-9x10,FALSE,Loading Dock Seal LDS-9x10 - Heavy Industries,Heavy-duty loading dock seal lds-9x10 built for demanding industrial applications. Engineered for reliability and performance....,,,,,,,,,,,,,,,lb,,10200,active
angle-grinder-ag-9,Angle Grinder AG-9,Professional-grade angle grinder ag-9 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3000,2268,shopify,25,deny,manual,150,200,TRUE,TRUE,,,,Angle Grinder AG-9,FALSE,Angle Grinder AG-9 - ProTools,Professional-grade angle grinder ag-9 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,90,active
impact-wrench-iw-1000,Impact Wrench IW-1000,Professional-grade impact wrench iw-1000 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3001,3175,shopify,26,deny,manual,200,250,TRUE,TRUE,,,,Impact Wrench IW-1000,FALSE,Impact Wrench IW-1000 - ProTools,Professional-grade impact wrench iw-1000 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,120,active
circular-saw-cs-7-25,Circular Saw CS-7.25,Professional-grade circular saw cs-7.25 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3002,4082,shopify,27,deny,manual,250,300,TRUE,TRUE,,,,Circular Saw CS-7.25,FALSE,Circular Saw CS-7.25 - ProTools,Professional-grade circular saw cs-7.25 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,150,active
reciprocating-saw-rs-12a,Reciprocating Saw RS-12A,Professional-grade reciprocating saw rs-12a designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3003,4990,shopify,28,deny,manual,300,350,TRUE,TRUE,,,,Reciprocating Saw RS-12A,FALSE,Reciprocating Saw RS-12A - ProTools,Professional-grade reciprocating saw rs-12a designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,180,active
hammer-drill-hd-18v,Hammer Drill HD-18V,Professional-grade hammer drill hd-18v designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3004,5897,shopify,29,deny,manual,350,400,TRUE,TRUE,,,,Hammer Drill HD-18V,FALSE,Hammer Drill HD-18V - ProTools,Professional-grade hammer drill hd-18v designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,210,active
rotary-hammer-rh-1-5,Rotary Hammer RH-1.5,Professional-grade rotary hammer rh-1.5 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3005,6804,shopify,30,deny,manual,400,450,TRUE,TRUE,,,,Rotary Hammer RH-1.5,FALSE,Rotary Hammer RH-1.5 - ProTools,Professional-grade rotary hammer rh-1.5 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,240,active
belt-sander-bs-4x24,Belt Sander BS-4x24,Professional-grade belt sander bs-4x24 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3006,7711,shopify,31,deny,manual,450,500,TRUE,TRUE,,,,Belt Sander BS-4x24,FALSE,Belt Sander BS-4x24 - ProTools,Professional-grade belt sander bs-4x24 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,270,active
orbital-sander-os-5,Orbital Sander OS-5,Professional-grade orbital sander os-5 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3007,8618,shopify,32,deny,manual,500,550,TRUE,TRUE,,,,Orbital Sander OS-5,FALSE,Orbital Sander OS-5 - ProTools,Professional-grade orbital sander os-5 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,300,active
router-rt-2-25hp,Router RT-2.25HP,Professional-grade router rt-2.25hp designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3008,9525,shopify,33,deny,manual,550,600,TRUE,TRUE,,,,Router RT-2.25HP,FALSE,Router RT-2.25HP - ProTools,Professional-grade router rt-2.25hp designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,330,active
jigsaw-js-6-5a,Jigsaw JS-6.5A,Professional-grade jigsaw js-6.5a designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3009,10433,shopify,34,deny,manual,600,650,TRUE,TRUE,,,,Jigsaw JS-6.5A,FALSE,Jigsaw JS-6.5A - ProTools,Professional-grade jigsaw js-6.5a designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,360,active
planer-pl-6,Planer PL-6,Professional-grade planer pl-6 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3010,11340,shopify,35,deny,manual,650,700,TRUE,TRUE,,,,Planer PL-6,FALSE,Planer PL-6 - ProTools,Professional-grade planer pl-6 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,390,active
multimeter-mm-600v,Multimeter MM-600V,Professional-grade multimeter mm-600v designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3011,12247,shopify,36,deny,manual,700,750,TRUE,TRUE,,,,Multimeter MM-600V,FALSE,Multimeter MM-600V - ProTools,Professional-grade multimeter mm-600v designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,420,active
torque-wrench-tw-250,Torque Wrench TW-250,Professional-grade torque wrench tw-250 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3012,13154,shopify,37,deny,manual,750,800,TRUE,TRUE,,,,Torque Wrench TW-250,FALSE,Torque Wrench TW-250 - ProTools,Professional-grade torque wrench tw-250 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,450,active
pipe-wrench-pw-24,Pipe Wrench PW-24,Professional-grade pipe wrench pw-24 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3013,14061,shopify,38,deny,manual,800,850,TRUE,TRUE,,,,Pipe Wrench PW-24,FALSE,Pipe Wrench PW-24 - ProTools,Professional-grade pipe wrench pw-24 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,480,active
tool-chest-tc-26,Tool Chest TC-26,Professional-grade tool chest tc-26 designed for industrial and commercial use. Built for durability and precision.,ProTools,Industrial Tools,Professional Tools,"tools, professional, industrial, power-tools",TRUE,Title,Default Title,,,,,TOOL-3014,14969,shopify,39,deny,manual,850,900,TRUE,TRUE,,,,Tool Chest TC-26,FALSE,Tool Chest TC-26 - ProTools,Professional-grade tool chest tc-26 designed for industrial and commercial use. Built for durability and precision....,,,,,,,,,,,,,,,lb,,510,active
hard-hat-safety-helmet,Hard Hat Safety Helmet,OSHA compliant hard hat safety helmet for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4000,454,shopify,50,deny,manual,25,35,TRUE,TRUE,,,,Hard Hat Safety Helmet,FALSE,Hard Hat Safety Helmet - SafetyFirst,OSHA compliant hard hat safety helmet for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,15,active
safety-glasses-clear-lens,Safety Glasses Clear Lens,OSHA compliant safety glasses clear lens for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4001,680,shopify,51,deny,manual,50,60,TRUE,TRUE,,,,Safety Glasses Clear Lens,FALSE,Safety Glasses Clear Lens - SafetyFirst,OSHA compliant safety glasses clear lens for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,30,active
work-gloves-cut-resistant,Work Gloves Cut Resistant,OSHA compliant work gloves cut resistant for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4002,907,shopify,52,deny,manual,75,85,TRUE,TRUE,,,,Work Gloves Cut Resistant,FALSE,Work Gloves Cut Resistant - SafetyFirst,OSHA compliant work gloves cut resistant for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,45,active
safety-boots-steel-toe,Safety Boots Steel Toe,OSHA compliant safety boots steel toe for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4003,1134,shopify,53,deny,manual,100,110,TRUE,TRUE,,,,Safety Boots Steel Toe,FALSE,Safety Boots Steel Toe - SafetyFirst,OSHA compliant safety boots steel toe for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,60,active
high-vis-safety-vest,High Vis Safety Vest,OSHA compliant high vis safety vest for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4004,1361,shopify,54,deny,manual,125,135,TRUE,TRUE,,,,High Vis Safety Vest,FALSE,High Vis Safety Vest - SafetyFirst,OSHA compliant high vis safety vest for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,75,active
respirator-half-face,Respirator Half Face,OSHA compliant respirator half face for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4005,1588,shopify,55,deny,manual,150,160,TRUE,TRUE,,,,Respirator Half Face,FALSE,Respirator Half Face - SafetyFirst,OSHA compliant respirator half face for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,90,active
fall-protection-harness,Fall Protection Harness,OSHA compliant fall protection harness for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4006,1814,shopify,56,deny,manual,175,185,TRUE,TRUE,,,,Fall Protection Harness,FALSE,Fall Protection Harness - SafetyFirst,OSHA compliant fall protection harness for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,105,active
safety-barrier-system,Safety Barrier System,OSHA compliant safety barrier system for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4007,2041,shopify,57,deny,manual,200,210,TRUE,TRUE,,,,Safety Barrier System,FALSE,Safety Barrier System - SafetyFirst,OSHA compliant safety barrier system for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,120,active
emergency-eye-wash-station,Emergency Eye Wash Station,OSHA compliant emergency eye wash station for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4008,2268,shopify,58,deny,manual,225,235,TRUE,TRUE,,,,Emergency Eye Wash Station,FALSE,Emergency Eye Wash Station - SafetyFirst,OSHA compliant emergency eye wash station for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,135,active
first-aid-kit-industrial,First Aid Kit Industrial,OSHA compliant first aid kit industrial for industrial workplace safety. Meets or exceeds safety standards.,SafetyFirst,Safety Equipment,Safety Equipment,"safety, ppe, industrial, compliance",TRUE,Title,Default Title,,,,,SAFE-4009,2495,shopify,59,deny,manual,250,260,TRUE,TRUE,,,,First Aid Kit Industrial,FALSE,First Aid Kit Industrial - SafetyFirst,OSHA compliant first aid kit industrial for industrial workplace safety. Meets or exceeds safety standards....,,,,,,,,,,,,,,,lb,,150,active